emulator,label,iteration,status,rom_sha256,rom_size_bytes,tag,build,metric,count,total_ticks,mean_ticks,min_ticks,max_ticks,budget_ticks,over_budget,checksum,pass
"desmume","ds-arm-fast",1,124,"a27c2160a27a34620db7163ddfe64206197bd2c6d6964dd03a8c5244de283427",739328,PPBENCH,bench-nds-hw-arm-fast,render_frame,240,79462565,331094,40043,385357,558566,0,8c4d9050,1
"desmume","ds-arm-fast",1,124,"a27c2160a27a34620db7163ddfe64206197bd2c6d6964dd03a8c5244de283427",739328,PPBENCH,bench-nds-hw-arm-fast,render_begin,240,239382,997,997,998,558566,0,8c4d9050,1
"desmume","ds-arm-fast",1,124,"a27c2160a27a34620db7163ddfe64206197bd2c6d6964dd03a8c5244de283427",739328,PPBENCH,bench-nds-hw-arm-fast,render_canvas,240,79111114,329629,38579,383892,558566,0,8c4d9050,1
"desmume","ds-arm-fast",1,124,"a27c2160a27a34620db7163ddfe64206197bd2c6d6964dd03a8c5244de283427",739328,PPBENCH,bench-nds-hw-arm-fast,render_end,240,26044,108,108,109,558566,0,8c4d9050,1
"desmume","ds-arm-fast",1,124,"a27c2160a27a34620db7163ddfe64206197bd2c6d6964dd03a8c5244de283427",739328,PPBENCH,bench-nds-hw-arm-fast,frame_total,240,133632227,556800,224105,559409,558566,228,8c4d9050,1
"desmume","ds-arm-fast",1,124,"a27c2160a27a34620db7163ddfe64206197bd2c6d6964dd03a8c5244de283427",739328,PPBENCH,bench-nds-hw-arm-fast,frame_over_1pct_count,1,0,0,0,0,0,0,8c4d9050,1
"desmume","ds-arm-fast",1,124,"a27c2160a27a34620db7163ddfe64206197bd2c6d6964dd03a8c5244de283427",739328,PPBENCH,bench-nds-hw-arm-fast,frame_over_2x_count,1,0,0,0,0,0,0,8c4d9050,1
"desmume","ds-arm-fast",1,124,"a27c2160a27a34620db7163ddfe64206197bd2c6d6964dd03a8c5244de283427",739328,PPBENCH,bench-nds-hw-arm-fast,visible_things_rendered,1,5166,5166,5166,5166,0,0,8c4d9050,1
"desmume","ds-arm-fast",1,124,"a27c2160a27a34620db7163ddfe64206197bd2c6d6964dd03a8c5244de283427",739328,PPBENCH,bench-nds-hw-arm-fast,line_quads_rendered,1,22549,22549,22549,22549,0,0,8c4d9050,1
"desmume","ds-arm-fast",1,124,"a27c2160a27a34620db7163ddfe64206197bd2c6d6964dd03a8c5244de283427",739328,PPBENCH,bench-nds-hw-arm-fast,things_final,1,27,27,27,27,0,0,8c4d9050,1
"desmume","ds-arm-fast",1,124,"a27c2160a27a34620db7163ddfe64206197bd2c6d6964dd03a8c5244de283427",739328,PPBENCH,bench-nds-hw-arm-fast,behavior_pass,1,1,1,1,1,0,0,8c4d9050,1
"desmume","ds-arm-fast",1,124,"a27c2160a27a34620db7163ddfe64206197bd2c6d6964dd03a8c5244de283427",739328,PPBENCH,bench-nds-hw-arm-fast,hit_test_heap_fixed_pass,1,1,1,1,1,0,0,d82df0ac,1
"desmume","ds-arm-fast",1,124,"a27c2160a27a34620db7163ddfe64206197bd2c6d6964dd03a8c5244de283427",739328,PPBENCH,bench-nds-hw-arm-fast,overall_pass,1,1,1,1,1,0,0,8c4d9050,1
"desmume","ds-arm-fast",2,124,"a27c2160a27a34620db7163ddfe64206197bd2c6d6964dd03a8c5244de283427",739328,PPBENCH,bench-nds-hw-arm-fast,benchmark_started,1,1,1,1,1,0,0,00000000,1
"desmume","ds-arm-fast",2,124,"a27c2160a27a34620db7163ddfe64206197bd2c6d6964dd03a8c5244de283427",739328,PPBENCH,bench-nds-hw-arm-fast,file_output_ready,1,0,0,0,0,0,0,00000000,1
"desmume","ds-arm-fast",2,124,"a27c2160a27a34620db7163ddfe64206197bd2c6d6964dd03a8c5244de283427",739328,PPBENCH,bench-nds-hw-arm-fast,timer_read_overhead_ticks,1,13,13,13,13,0,0,00000000,1
"desmume","ds-arm-fast",2,124,"a27c2160a27a34620db7163ddfe64206197bd2c6d6964dd03a8c5244de283427",739328,PPBENCH,bench-nds-hw-arm-fast,scene_things_created,1,27,27,27,27,0,0,d8635f64,1
"desmume","ds-arm-fast",2,124,"a27c2160a27a34620db7163ddfe64206197bd2c6d6964dd03a8c5244de283427",739328,PPBENCH,bench-nds-hw-arm-fast,scene_position_sum_x,1,2995,2995,2995,2995,0,0,d8635f64,1
